observer_id,frame_number,marker_ids,marker_count,frame_score,reference_marker_seen,selection_reasons
moving_frame_000000,0,9;10;11;12;13,5,129.2157378889667,False,top_marker_13;top_marker_9;top_pair_11_12;top_pair_12_13;top_pair_9_12
moving_frame_000001,1,9;10;12;13,4,123.97291074479672,False,top_marker_13;top_pair_10_12;top_pair_10_13;top_pair_12_13;top_pair_9_10;top_pair_9_12
moving_frame_000002,2,9;10;12;13,4,87.76499621681369,False,top_marker_13;top_pair_12_13;top_pair_9_12
moving_frame_000003,3,9;10;13,3,93.50536416616335,False,top_marker_13
moving_frame_000004,4,9;10;11;13,4,150.1454862567364,False,top_marker_10;top_marker_11;top_marker_13;top_marker_9;top_pair_10_11;top_pair_10_13;top_pair_11_13;top_pair_9_10;top_pair_9_13
moving_frame_000005,5,9;11;13,3,123.35613537011255,False,top_marker_13;top_marker_9;top_pair_11_13;top_pair_9_13
moving_frame_000006,6,9;10;11;13,4,162.29386506567425,False,top_marker_11;top_marker_13;top_marker_9;top_pair_10_11;top_pair_10_13;top_pair_11_13;top_pair_9_13
moving_frame_000007,7,9;10;11;13,4,193.27919866816873,False,top_marker_11;top_marker_13;top_pair_10_11;top_pair_10_13;top_pair_11_13;top_pair_9_10;top_pair_9_13
moving_frame_000008,8,9;10;11,3,113.99386381846699,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000009,9,9;10;11,3,120.27083027287694,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000010,10,9;10;11,3,117.15531909068342,False,top_marker_11;top_marker_9;top_pair_9_11
moving_frame_000011,11,0;9;10;11;12,5,164.8030554973194,False,top_marker_9;top_pair_0_10;top_pair_0_11;top_pair_0_12;top_pair_0_9;top_pair_10_11;top_pair_10_12;top_pair_11_12;top_pair_9_10;top_pair_9_11;top_pair_9_12
moving_frame_000012,12,10;12,2,89.15548471649308,False,top_marker_12;top_pair_10_12
moving_frame_000013,13,10;12,2,99.84579936826682,False,top_marker_12
moving_frame_000014,14,10;12,2,81.40397623431528,False,top_marker_12
moving_frame_000015,15,10;12,2,94.80525717820416,False,top_marker_10;top_marker_12;top_pair_10_12
moving_frame_000016,16,10,1,31.33381253032835,False,top_marker_10
moving_frame_000017,17,10,1,34.663788003971725,False,top_marker_10
moving_frame_000018,18,10,1,43.73591531600134,False,top_marker_10
moving_frame_000019,19,10,1,37.597394573988154,False,top_marker_10
moving_frame_000020,20,10,1,49.355972409190066,False,top_marker_10
moving_frame_000021,21,10,1,31.7162464571659,False,top_marker_10
moving_frame_000030,30,0;4,2,30.33359323643037,False,top_pair_0_4
moving_frame_000037,37,4,1,44.1511167850944,False,top_marker_4
moving_frame_000039,39,0;4,2,48.945602740155465,False,top_marker_4
moving_frame_000040,40,0;4,2,58.46238140974876,False,top_marker_4;top_pair_0_4
moving_frame_000041,41,0;4,2,67.14526203682023,False,top_marker_4;top_pair_0_4
moving_frame_000042,42,0;4,2,75.92137523268705,False,top_marker_4;top_pair_0_4
moving_frame_000044,44,0;14,2,41.05157972632503,True,reference_marker_14;top_marker_14;top_pair_0_14
moving_frame_000046,46,14,1,28.442187541955814,True,reference_marker_14;top_marker_14
moving_frame_000048,48,14,1,21.165830587285622,True,reference_marker_14
moving_frame_000049,49,14,1,27.654459245361583,True,reference_marker_14;top_marker_14
moving_frame_000050,50,14,1,29.35440935546069,True,reference_marker_14;top_marker_14
moving_frame_000051,51,14,1,26.920492614540667,True,reference_marker_14;top_marker_14
moving_frame_000052,52,14,1,22.30027197525313,True,reference_marker_14;top_marker_14
moving_frame_000053,53,14,1,27.24593460029308,True,reference_marker_14;top_marker_14
moving_frame_000074,74,0,1,35.442735569823085,False,top_marker_0
moving_frame_000075,75,0,1,32.65815117545324,False,top_marker_0
moving_frame_000076,76,0,1,35.109195445625325,False,top_marker_0
moving_frame_000078,78,0,1,43.59012794221678,False,top_marker_0
moving_frame_000080,80,0,1,32.1337195923529,False,top_marker_0
moving_frame_000081,81,0,1,39.74646398562878,False,top_marker_0
moving_frame_000082,82,0,1,39.627445655827145,False,top_marker_0
moving_frame_000083,83,0,1,61.667596117384264,False,top_marker_0
moving_frame_000086,86,1,1,58.09390522607252,False,top_marker_1
moving_frame_000090,90,1,1,50.000798252863525,False,top_marker_1
moving_frame_000095,95,1,1,47.60288141101207,False,top_marker_1
moving_frame_000096,96,1,1,89.09527237881078,False,top_marker_1
moving_frame_000097,97,1,1,97.85607948223011,False,top_marker_1
moving_frame_000098,98,1,1,98.36857499790393,False,top_marker_1
moving_frame_000099,99,1,1,81.25814613963395,False,top_marker_1
moving_frame_000104,104,2;5,2,44.4785162784105,False,top_marker_2
moving_frame_000105,105,2;5,2,64.76218268063884,False,top_marker_2;top_pair_2_5
moving_frame_000106,106,1;2;5,3,68.45365179425816,False,top_marker_2;top_pair_1_2;top_pair_1_5
moving_frame_000107,107,1;2;5;6,4,65.98809906637389,False,top_pair_1_2;top_pair_1_5;top_pair_1_6
moving_frame_000108,108,1;2;6;7,4,89.74678810360942,False,top_pair_1_2;top_pair_1_6;top_pair_1_7
moving_frame_000109,109,1;2;6;7,4,135.90438011037267,False,top_marker_1;top_marker_2;top_pair_1_2;top_pair_1_6;top_pair_1_7;top_pair_2_6
moving_frame_000110,110,2;6;7,3,61.6361369974303,False,top_marker_2;top_pair_2_6
moving_frame_000111,111,2;6;7,3,55.954724675079426,False,top_pair_2_7
moving_frame_000112,112,2;5;6;7,4,76.94684189972054,False,top_marker_2;top_pair_2_5;top_pair_2_6;top_pair_2_7
moving_frame_000113,113,2;5;6;7,4,81.35199051361809,False,top_marker_2;top_pair_2_5;top_pair_2_6;top_pair_2_7
moving_frame_000114,114,2;5;6;7,4,85.84122774043252,False,top_marker_2;top_pair_2_5;top_pair_2_7;top_pair_5_7
moving_frame_000118,118,14,1,27.239210748608727,True,reference_marker_14;top_marker_14
moving_frame_000127,127,4;7,2,60.921545625359514,False,top_marker_7;top_pair_4_7
moving_frame_000129,129,4;7,2,67.0935086602482,False,top_marker_4;top_marker_7;top_pair_4_7
moving_frame_000130,130,4;6;7,3,94.93361437228926,False,top_marker_6;top_pair_4_6
moving_frame_000131,131,4;6;7,3,95.48026442389806,False,top_marker_7;top_pair_4_7;top_pair_6_7
moving_frame_000132,132,4;6;7,3,91.11269057172366,False,top_pair_4_6
moving_frame_000133,133,4;6;7,3,111.28493650655847,False,top_marker_4;top_marker_6;top_marker_7;top_pair_4_6;top_pair_4_7;top_pair_6_7
moving_frame_000134,134,4;6;7;8,4,133.81103518812427,False,top_marker_4;top_pair_4_6;top_pair_4_8
moving_frame_000136,136,6;7;8,3,80.64984916932434,False,top_marker_6;top_marker_7;top_pair_7_8
moving_frame_000137,137,5;6;7;8,4,119.62215790390607,False,top_marker_5;top_marker_6;top_marker_7;top_pair_5_6;top_pair_5_7;top_pair_6_7;top_pair_6_8;top_pair_7_8
moving_frame_000138,138,5;6;7;8,4,127.10206687955572,False,top_marker_5;top_marker_6;top_marker_7;top_pair_5_6;top_pair_5_7;top_pair_6_7;top_pair_6_8;top_pair_7_8
moving_frame_000139,139,5;6;7;8,4,108.1540478089648,False,top_marker_6;top_marker_7;top_pair_5_7;top_pair_6_8;top_pair_7_8
moving_frame_000140,140,5;6;8,3,107.0617987970681,False,top_marker_5;top_marker_6;top_pair_5_6;top_pair_6_8
moving_frame_000141,141,5;6;8,3,107.65056721770335,False,top_marker_5;top_marker_6;top_pair_5_6
moving_frame_000143,143,5;8,2,59.782153267373715,False,top_pair_5_8
moving_frame_000144,144,5;8,2,61.61526664918617,False,top_marker_5;top_marker_8;top_pair_5_8
moving_frame_000145,145,5;8,2,63.86965384741822,False,top_marker_5
moving_frame_000146,146,5;8,2,74.35762852745577,False,top_marker_5;top_pair_5_8
moving_frame_000147,147,5;8,2,89.11294914033246,False,top_marker_5;top_marker_8;top_pair_5_8
moving_frame_000149,149,8,1,43.522386041289366,False,top_marker_8
moving_frame_000150,150,8,1,48.52921189500852,False,top_marker_8
moving_frame_000151,151,8,1,50.18241947842284,False,top_marker_8
moving_frame_000152,152,8,1,69.51348112764342,False,top_marker_8
moving_frame_000153,153,8,1,78.26989028939774,False,top_marker_8
moving_frame_000154,154,8,1,84.06864489000158,False,top_marker_8
moving_frame_000159,159,12;13,2,71.80899048858414,False,top_marker_12;top_pair_12_13
moving_frame_000161,161,11;12,2,88.08518490192512,False,top_marker_11;top_marker_12;top_pair_11_12
moving_frame_000162,162,11;12,2,103.90155744328419,False,top_marker_11;top_marker_12;top_pair_11_12
moving_frame_000163,163,12,1,63.7163353991636,False,top_marker_12
