variant,method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
ceiling_bright,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.877145281173072,7.425172287944079,11.452292158942212,1.2913589597518131,1.3096448081941379,1.4968381555420056
ceiling_bright,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,50.92010612424328,42.909286953452366,98.74172827303138,4.802139965684204,3.6952753612154776,8.954595320938706
ceiling_bright,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.8690969180881165,6.592539079011316,11.42727422607109,0.0700868644700424,0.07199360512966141,0.1101541674512491
ceiling_dark_extreme,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,10.499270287303041,10.750260717392958,13.833240964405869,1.4138050977340177,1.52305152457085,1.8497894210143233
ceiling_dark_extreme,AP02,FAILED_NO_STATIC_CAMERAS,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,,,,,
ceiling_dark_extreme,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.645225257892344,6.046096394820516,10.496313712630519,0.2249729732873494,0.19762978988368654,0.4189082201084474
ceiling_low,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.156193672776324,7.722707953094065,11.693505256698456,1.2967540737016996,1.2905814403635727,1.5195747994890783
ceiling_low,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,37.66981594686099,31.69932888041398,68.20088380133896,3.306967488974005,2.797341440958445,6.194319390595499
ceiling_low,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,40.12261849823892,39.27535046186085,71.65548389178504,6.020827595329525,4.108802227957778,12.065841675406677
ceiling_normal,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.834029100131286,7.419585794465066,11.48155763106885,1.2802635632418118,1.2215805060376672,1.5754813928779954
ceiling_normal,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,33.81620778284584,32.56835422738432,53.83543373951897,6.150010228865193,5.284219367968713,10.219458022544265
ceiling_normal,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.61934733561313,7.167900920104659,13.217840244040236,0.19516552653506464,0.17850578824542343,0.29904541030055215
