method,label,anchor_marker_id,camera,translation_error_cm,rotation_error_deg,delta_x_m,delta_y_m,delta_z_m,estimated_qx,estimated_qy,estimated_qz,estimated_qw,gt_qx,gt_qy,gt_qz,gt_qw,evaluation,estimated_x_m,estimated_y_m,estimated_z_m,estimated_roll_deg,estimated_pitch_deg,estimated_yaw_deg,estimated_rvec_x,estimated_rvec_y,estimated_rvec_z,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,14,cam_edge_0,30.96077133858712,3.506404054880379,-0.19839216707972052,-0.08763915378486686,0.22094538454856316,-0.8379772592203797,-0.006607397406866403,0.013680883825392384,0.5454936193456019,-0.832710978683664,-0.0012210187857360443,-0.01487217722225805,0.5535067781314782,direct_anchor_relative_posthoc_gt_no_fit_no_scale,0.38941576292027946,-1.82219442047497,2.308273678989134,-113.86287313009231,0.900724050204224,1.4900060439403096,-1.9873101216040034,-0.015669813947388207,0.0324449841562354,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,14,cam_edge_1,83.30309258345738,7.153570231133118,-0.4051685213156069,-0.685997733684229,-0.24328193955128175,-0.44361812502476056,0.6516759146861912,-0.4829440221052725,0.3811647057116044,-0.429334020960103,0.6756699764120603,-0.5012700320805006,0.32843680725456104,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-4.379335841315607,-0.21091124051604382,1.8882607419714192,-104.09473315802221,3.916710942178708,-108.4557545458264,-1.132180079614725,1.663174805878884,-1.2325456751030732,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,14,cam_edge_3,66.7229208415153,7.078731760768531,0.10091551517811537,0.6193674331585257,0.2267043407199485,-0.6960126367891113,0.45394110130763854,-0.3024024627032763,0.4669653483123458,-0.7020524674459091,0.41596444725875176,-0.27634339225981064,0.5076713908860458,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-3.1264403148218847,-0.9438468334254329,2.280915235709685,-112.39526317363023,0.171753414527864,-66.10998367107857,-1.7079115622611012,1.113903993303161,-0.7420506973692303,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,14,cam_edge_5,895.5527324897281,142.97460792914788,-8.794320729982026,-1.3958214526677994,0.9555495996873229,-0.48821079599773354,0.7148633915773294,-0.339452779691739,0.3679570089200222,-0.46183688025109443,-0.671792637927141,0.5005689618723925,0.2912594411805825,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-2.9354618599820252,-1.0474019195227515,3.0943111708040436,-120.56281228777324,11.223049706466801,-104.91813977031761,-1.2537959322670125,1.8358725776527425,-0.8717638320644769,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap01,baseline,14,cam_edge_0,7.111393439277523,1.9875211345201425,-0.03899054733343743,0.03138496631653176,0.05051646041409752,-0.8369788277858872,0.013099203829265379,-0.020453428568540297,0.5466959940926888,-0.832710978683664,-0.0012210187857360443,-0.01487217722225805,0.5535067781314782,direct_anchor_relative_posthoc_gt_no_fit_no_scale,0.5488173826665625,-1.7031703003735714,2.1378447548546684,-113.67135393307949,-1.141155776479652,-2.539029016705106,-1.983930968478977,0.031049669688832462,-0.048481740519104616,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap01,baseline,14,cam_edge_1,10.123367913394482,1.125979519302829,-0.06705542269832998,0.04492890433586927,-0.061100095195679494,-0.4235352512544405,0.6728523332759865,-0.5081863963536021,0.3311105783738093,-0.429334020960103,0.6756699764120603,-0.5012700320805006,0.32843680725456104,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-4.04122274269833,0.5200153975040545,2.0704425863270215,-105.32268356282029,0.8656199991815151,-114.96190079961114,-1.107158253701118,1.758894949362856,-1.328443763476746,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap01,baseline,14,cam_edge_3,6.02895179765063,0.7751361511348311,-0.05558206192783954,0.0073060794362576065,0.02218291173314224,-0.7040667230998742,0.41345581850979124,-0.28120977360227123,0.5042473587381131,-0.7020524674459091,0.41596444725875176,-0.27634339225981064,0.5076713908860458,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-3.2829378919278396,-1.555908187147701,2.0763938067228787,-109.47434582087969,1.2025617637912471,-59.99597483692218,-1.6995683302101106,0.9980537242074154,-0.6788209265958717,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap01,baseline,14,cam_edge_5,41.55571648954509,1.131343951550525,-0.07071055601477916,-0.38935942466315454,-0.12683458909147394,-0.4650155759215292,-0.6718566349234439,0.4937397499057016,0.297641118837385,-0.46183688025109443,-0.671792637927141,0.5005689618723925,0.2912594411805825,direct_anchor_relative_posthoc_gt_no_fit_no_scale,5.788148313985221,-0.04093989151810673,2.011926982025247,-109.62433529490957,3.3967085113832014,113.01844864149349,-1.2358249948938524,-1.7855256155199801,1.3121623349861127,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap02,baseline,14,cam_edge_0,3.8750926139843274,0.6737888154919882,-0.00012367027876325487,-0.004494176928964144,0.03848923688628947,-0.8357001505009197,0.0009487231969740679,-0.015445932147830355,0.5489679239783689,-0.832710978683664,-0.0012210187857360443,-0.01487217722225805,0.5535067781314782,direct_anchor_relative_posthoc_gt_no_fit_no_scale,0.5876842597212367,-1.7390494436190673,2.1258175313268604,-113.38534347273094,-1.4196309090605472,-1.0628995413120037,-1.9789954586824592,0.0022466418095449634,-0.03657703011941726,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap02,baseline,14,cam_edge_1,4.173757815057805,0.11850967575056474,-0.03604743026720714,0.01073120707838282,0.018095562871801363,-0.42928170971441465,0.6760681791951787,-0.5013959777007424,0.32749214392089077,-0.429334020960103,0.6756699764120603,-0.5012700320805006,0.32843680725456104,direct_anchor_relative_posthoc_gt_no_fit_no_scale,-4.010214750267207,0.485817700246568,2.1496382443945024,-106.42281579204237,0.7066920178473034,-114.64305583314135,-1.1241634178721478,1.7704251027705304,-1.313009623387845,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
