method,label,camera,alignment,translation_error_cm,rotation_error_deg,aligned_estimated_x_m,aligned_estimated_y_m,aligned_estimated_z_m,aligned_estimated_roll_deg,aligned_estimated_pitch_deg,aligned_estimated_yaw_deg,aligned_estimated_rvec_x,aligned_estimated_rvec_y,aligned_estimated_rvec_z,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,184.70713987309878,14.33548582186217,1.1869869674295646,2.5604586235404665,-2.6854393506312553,-147.38881785649968,64.1466568885532,54.42927656974774,2.452895977094251,0.7418333001059708,-1.7418973316981397,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,227.89184583373307,10.551655536236206,-1.681314058983927,0.5664879349154617,0.9629255339386456,-165.51779899945095,-30.289240283237138,-17.84097489999663,-2.8447201652371295,0.3468140440156404,-0.8222365267627998,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,273.09958462669147,22.808952912607314,-0.6351703718902916,1.3237910392542007,0.19273417510156232,179.9369716078347,6.844054809762749,3.6607056851860746,3.1294973588025368,0.10011098873997643,-0.18707900340909078,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,654.9552546418428,126.78230201995696,-0.4962390682384085,2.13759830416623,0.35773478643273116,179.90440051702615,-23.631567782797575,-23.02906423205893,2.9356183181739453,-0.5985673520698551,0.6136495694388376,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap01,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,14.168463362102882,1.2946376751592834,0.5912620895237595,2.0130137055311734,-1.0170038247691509,-117.4257858908239,66.13129110342801,85.61183696576414,-2.25200845321808,-0.8744171954195267,2.000597381294127,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap01,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,7.520650103213379,0.824968955756243,-1.570329372497234,0.18032409210944628,3.223790580080449,-170.419907951281,-21.74283285814709,-10.936326718694842,-2.9467182748053915,0.2343003224164971,-0.5886551220806079,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap01,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,7.460538347033133,0.7922790368178066,0.4952149699098449,0.4790478009875938,2.4966174393843628,-174.10433134043123,28.803329198596504,11.43649852259516,-2.980810076951062,-0.2587247969111155,0.7797721105436027,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap01,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,26.170624444735708,1.0760911794652182,-1.141884218619433,3.915950303248145,-5.875449049853977,-45.37978270283696,-20.51853982192856,-167.3218370392587,-0.6319338646317418,1.1057937819446961,-2.801771739487938,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap01,root_cam_edge_1,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,7.258446170377885,2.22464567207722,0.6440223742684628,1.965794400623142,-1.019837353996085,-109.3777226921458,65.18135650537971,92.98335512713813,-2.17366104521911,-0.8839150407047207,2.038943772616027,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap01,root_cam_edge_1,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,33.19851634680307,4.295395210037843,-1.2546272136678875,0.0952814400858839,3.4026089664565147,-170.86536313487403,-17.963743333543434,-10.18202189278033,-2.9638479574304233,0.22637008988023502,-0.489009276831709,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap01,root_cam_edge_1,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,55.3565746920079,3.135062973850392,0.041330055482728195,0.5991369457855482,2.322315197796023,-175.5678229570544,25.45912192357434,10.45815984568722,-3.0182523727986266,-0.24964243317841095,0.6919647069796898,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap01,root_cam_edge_1,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,33.56818790494568,3.5699671201955865,-1.056461747766366,3.9281231153817844,-5.877131665414769,-43.90924887810584,-17.174064356937475,-168.10196896993205,-0.5395864312638133,1.0829483714121801,-2.813376543871472,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap02,ap02_configured_defaults_nonbaseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,1.7321777788463137,0.4735850479093688,0.7126813933030687,1.9517906388650783,-1.0110158178398518,-115.31423161015655,65.5958965945329,87.72844802511693,-2.229376230615491,-0.8856549639336776,2.0065019614634623,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap02,ap02_configured_defaults_nonbaseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,3.752981915259077,0.14195996807985117,-1.5018061485718572,0.18325957968874662,3.2386452698100787,-171.19465456780588,-22.096927754554194,-10.928120969686653,-2.9585842745296853,0.23818605933875703,-0.598616636397722,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap02,ap02_configured_defaults_nonbaseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.9883310432206898,0.11088228282895436,0.5497899772016837,0.39668746425184936,2.5031048027416225,-174.22557971213888,28.386859270034027,10.648055434788473,-2.9833005661741523,-0.23967559101197666,0.7676359862523289,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap02,ap02_configured_defaults_nonbaseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,5.912664312560788,0.23907538171308138,-1.3864017536159576,4.056598219070684,-5.902779109870166,-45.5522469673842,-20.288035594287457,-166.4384515740809,-0.6321603452439095,1.101089350737431,-2.7870873246889127,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap02,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,1.7321777788463184,0.47358504791244715,0.7126813933030682,1.9517906388650785,-1.0110158178398523,-115.31423161015653,65.59589659453292,87.72844802511689,-2.2293762306154656,-0.885654963933682,2.0065019614634636,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap02,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,3.752981915258899,0.1419599680901207,-1.5018061485718577,0.18325957968874804,3.2386452698100774,-171.19465456780588,-22.09692775455419,-10.92812096968664,-2.9585842745296835,0.23818605933876177,-0.5986166363977283,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap02,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.9883310432204375,0.11088228283552827,0.5497899772016821,0.396687464251851,2.503104802741621,-174.22557971213885,28.38685927003403,10.648055434788475,-2.983300566174157,-0.23967559101196478,0.7676359862523217,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap02,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,5.912664312560359,0.2390753817191793,-1.386401753615955,4.056598219070681,-5.902779109870163,-45.5522469673842,-20.288035594287468,-166.43845157408086,-0.6321603452438982,1.101089350737421,-2.78708732468892,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap03_multi,ap03_configured_defaults_nonbaseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,0.8543603620224309,0.02446851365114341,0.7173986772640599,1.9343714925006454,-1.017635916605998,-114.64668779654129,65.57035256233313,87.94625084231828,-2.223215491731734,-0.8769242682405952,2.007560317628462,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap03_multi,ap03_configured_defaults_nonbaseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,2.594064041793488,0.04423916681910109,-1.5096840247556949,0.189550146600106,3.2267987878733324,-171.14385877837782,-22.222358495954424,-10.822792121690402,-2.957227568800202,0.2348203169245466,-0.6016106635123696,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap03_multi,ap03_configured_defaults_nonbaseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.0628687824479868,0.03705863749736637,0.5472661473371736,0.4118873882972929,2.503946366712561,-174.29262438176983,28.38205562733498,10.73915284636618,-2.984592140630014,-0.24261978119562744,0.7677945954820105,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap03_multi,ap03_configured_defaults_nonbaseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,4.05710813980991,0.04943791806026127,-1.380717331528601,4.052526874478314,-5.885154093138212,-45.51900552508896,-20.164840387170408,-166.30735043723385,-0.6298496262587796,1.099105077104248,-2.7850347877575015,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
ap03_single,ap03_configured_defaults_nonbaseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,0.9413603163799581,0.024468513680933918,0.7181528460689112,1.9345642821054738,-1.0181221894226815,-114.64668779654129,65.5703525623331,87.94625084231828,-2.2232154917317173,-0.8769242682406055,2.0075603176284846,0.709555254590401,1.935077350127942,-1.0143229649625491,-114.60721445347556,65.57164993265224,88.00037068061702,-2.222882970666229,-0.8772965643010221,2.0079723162182286
ap03_single,ap03_configured_defaults_nonbaseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,2.8590268087679744,0.0442391668355781,-1.5104243810122813,0.18857204155121463,3.2291608215123246,-171.1438587783778,-22.222358495954424,-10.822792121690417,-2.9572275688002017,0.23482031692454317,-0.6016106635123738,-1.5000864907879965,0.19928464865396012,3.20475239050789,-171.1468324269116,-22.183589468976862,-10.842798642139067,-2.9574220452360946,0.23545154281234812,-0.6006458351198041
ap03_single,ap03_configured_defaults_nonbaseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.2754882310280347,0.03705863749736637,0.5479061455593564,0.41105848676900164,2.505823316857273,-174.2926243817698,28.382055627334985,10.7391528463662,-2.9845921406300113,-0.24261978119561928,0.7677945954820122,0.5382142668183957,0.4188794574960575,2.4867790376030783,-174.28718700626004,28.36062670222871,10.711882714775717,-2.9845540918631337,-0.24189544022314646,0.7671715178127015
ap03_single,ap03_configured_defaults_nonbaseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,4.470348172808493,0.04943791807500561,-1.3813711422990487,4.054141091450669,-5.888906804105233,-45.519005525088964,-20.164840387170415,-166.30735043723382,-0.6298496262587769,1.0991050771042399,-2.7850347877575072,-1.3734195623038628,4.035094445598399,-5.849253318306736,-45.49723559350537,-20.13401299401617,-166.2820457703095,-0.6291985763046304,1.0983479546798944,-2.784718082180698
